age,gender,education_level,device_hours_per_day,phone_unlocks,notifications_per_day,social_media_mins,study_mins,physical_activity_days,sleep_hours,sleep_quality,stress_level,productivity_score,digital_dependence_score
40,female,high school,3.54,45,561,98,34,7.0,9.12379996856656,3.353627229065094,6.593288791385255,70.0,25.7
27,male,master,5.65,100,393,174,102,2.0,8.83751689466956,2.90814688427508,4.126925580981799,64.0,30.1
31,male,bachelor,8.87,181,231,595,140,1.0,6.486743490405938,2.8892134520710853,1.4291394113837326,65.29930112427833,40.6
41,female,master,4.05,94,268,18,121,4.0,7.600503916041014,3.097488132489784,4.995511514530647,80.0,36.68415185296776
26,female,bachelor,13.07,199,91,147,60,1.0,5.197962143808271,2.786098466055896,9.448757290004147,65.29930112427833,48.4
37,female,bachelor,4.59,73,198,9,85,0.0,10.945226162648847,2.797043847701924,1.3170610240985463,63.0,21.2
18,female,high school,4.95,119,553,61,188,4.0,8.422325191079652,3.06511831938304,9.923969314465092,81.0,32.8
33,female,master,6.55,82,184,48,155,3.0,6.295213014211736,2.9523063893081094,1.0,73.0,25.7
43,female,phd,8.05,155,309,16,116,4.0,9.698407146278884,3.065844303103937,2.8660012980489773,60.0,39.9
41,female,high school,2.33,38,110,249,155,5.0,9.72271969916111,3.187426003154164,1.976406835980132,70.0,10.8
47,female,high school,7.89,129,212,31,37,4.0,6.864379263972305,3.074677273050004,8.889003899028802,60.0,35.2
13,female,high school,4.59,139,474,39,78,7.0,7.316848708334774,3.382698590755737,8.764770571840668,60.0,31.8
26,male,master,8.55,110,424,82,0,4.0,5.917848475661263,3.106251546232834,6.831297661361751,67.0,38.4
21,female,bachelor,3.99,72,211,178,102,4.0,6.04910572914114,3.078083020008001,2.846489119490281,46.0,19.1
24,female,master,8.91,92,185,161,201,1.0,5.779037569790717,2.7609676834105605,1.223006718921302,48.0,32.0
24,female,bachelor,9.74,180,1195,240,88,7.0,5.203141620196599,3.2825923234276613,6.606128074094776,59.0,66.9
24,female,bachelor,5.0,114,155,19,102,3.0,9.617037249632707,2.9756235817286774,1.0,55.0,23.7
25,male,master,5.29,119,226,125,96,2.0,6.267765346495462,2.926987306205264,2.179853991849066,68.0,26.3
19,male,bachelor,6.89,184,263,41,119,5.0,8.227617483642558,3.1636763139982604,6.79094856349961,56.0,36.3
15,male,high school,12.66,203,703,176,128,6.0,5.198885847394835,3.2201713260423235,9.707075661436672,51.0,62.7
21,female,bachelor,6.89,204,499,92,111,5.0,6.050582728907111,3.137827157703509,8.798728750504356,80.0,43.5
27,male,high school,7.3,141,525,72,64,2.0,8.252850132119574,2.92817857589818,1.0,63.0,40.9
25,female,bachelor,4.63,112,51,173,168,2.0,6.847907287205611,2.849226419862877,1.072755323546035,66.0,19.7
22,female,bachelor,6.24,128,357,449,80,4.0,7.984506760457626,3.1367008093003856,3.012997353530816,51.0,32.9
32,female,bachelor,3.29,93,121,417,293,5.0,8.030437941413052,3.029451317676477,1.0,60.0,17.6
23,female,master,5.1,98,1203,242,79,3.0,6.072299316420355,3.0448108488497363,10.0,66.0,48.7
46,female,bachelor,6.28,145,558,50,16,4.0,7.018892076150481,3.049665741916635,1.0,53.0,41.6
44,female,bachelor,6.5,107,304,20,301,0.0,6.371517255895567,2.78251543466444,7.295017386220814,69.0,31.9
50,male,bachelor,7.88,183,594,12,147,1.0,7.742759712422853,2.830463109262249,4.309485959858957,59.0,49.8
35,female,master,3.01,47,356,119,0,5.0,9.42605210567908,3.149111382480191,3.943071110818901,62.0,19.1
24,male,bachelor,6.95,133,103,94,133,5.0,8.177302002661788,3.159522385735977,1.0,59.0,28.5
18,male,high school,3.39,93,309,112,137,5.0,8.34004256115771,3.17226237638904,6.864401948035924,65.29930112427833,20.6
26,female,high school,4.19,108,141,86,0,4.0,8.66072306968108,3.0354834770085306,1.0,65.0,20.8
45,male,master,0.98,19,85,3,118,1.0,9.23280775573996,2.86401104407393,1.0,54.0,6.2
18,female,bachelor,6.46,141,123,132,0,2.0,6.765647643430832,2.837932199965437,5.102045915155113,73.0,27.5
22,female,bachelor,3.75,113,456,78,74,4.0,6.684185868226799,3.0516584896715866,2.8578730374141554,53.0,28.2
32,male,phd,5.96,101,772,115,47,4.0,8.529181992788837,3.0937235145515065,5.028737740713357,67.0,41.0
20,male,high school,2.19,61,480,71,103,4.0,6.245334614235386,3.101675897318687,1.900088400702232,45.0,20.7
41,male,master,4.54,58,172,34,187,5.0,7.54871444850384,3.154849104347721,5.891886308629696,52.0,19.9
13,male,high school,6.3,152,361,148,233,7.0,8.010635135382634,3.2719093272303805,4.6540966232282015,67.0,33.9
35,female,high school,9.89,171,231,61,13,2.0,7.075744741669438,2.936991120062812,2.0748078035810704,72.0,42.5
20,female,bachelor,6.4,137,207,173,0,3.0,6.148762413767652,2.938572062785197,4.990322843547051,67.0,29.6
40,male,master,4.86,83,114,199,166,2.0,7.276884560350949,2.979726184831822,10.0,64.0,20.8
22,female,bachelor,8.32,176,223,120,0,1.0,5.951503393041112,2.808037542672635,3.1882666047084225,62.0,38.1
49,male,bachelor,3.9,77,150,99,0,0.0,8.502375170745147,2.655405159240562,10.0,50.0,20.2
23,female,bachelor,3.7,88,158,81,104,6.0,7.519196324039396,3.151960132130581,4.655137623052005,58.0,18.3
27,male,bachelor,11.03,208,159,68,0,3.0,6.262353452202505,2.974222556585114,3.012163325391885,65.29930112427833,46.1
42,female,master,4.71,108,268,433,0,4.0,9.186657967712929,3.0589162819041955,9.927073686698543,76.0,36.68415185296776
21,female,bachelor,5.66,122,157,256,9,3.0,8.403072007283997,3.0705232089886896,1.0,68.0,25.3
38,male,bachelor,5.53,75,268,101,92,3.0,6.296379802610418,2.9201154078604232,1.0,47.0,36.68415185296776
37,female,bachelor,11.55,222,230,496,26,7.0,5.659952795310304,3.293552059093364,6.634129934771305,68.0,51.1
23,female,master,14.96,143,434,262,231,0.0,4.090026955517184,2.679415373596757,10.0,65.29930112427833,56.6
21,female,bachelor,7.94,141,802,62,145,5.0,7.830058075672094,3.107176919273981,1.7594011796312383,58.0,49.1
14,male,high school,9.06,152,165,256,63,4.0,7.821374632216433,3.13612361984136,4.855642390719986,71.0,36.68415185296776
