device_hours_per_day,phone_unlocks,notifications_per_day,social_media_mins,physical_activity_days,sleep_hours,sleep_quality,stress_level,digital_dependence_score,device_sleep_ratio,notification_intensity,unlock_per_hour,social_media_ratio,sleep_efficiency,screen_stress_load,activity_sleep_balance,dependence_per_hour
3.54,45.0,561,98,7.0,9.12379996856656,3.353627229065094,6.593288791385255,25.7,0.38799623097788816,158.47457627118644,12.711864406779661,0.4613935969868173,30.597824007128064,1985.94,63.866599779965924,7.259887005649717
5.65,100.0,393,174,2.0,8.83751689466956,2.90814688427508,4.126925580981799,30.1,0.6393198527753713,69.5575221238938,17.699115044247787,0.5132743362831859,25.700797221961665,2220.4500000000003,17.67503378933912,5.327433628318584
8.87,181.0,231,408,1.0,6.486743490405938,2.8892134520710853,1.4291394113837326,40.6,1.3674041548149638,26.04284103720406,20.405862457722662,1.1180007515971442,18.74158655261538,2048.97,6.486743490405938,4.577226606538896
4.05,94.0,268,18,4.0,7.600503916041014,3.097488132489784,4.995511514530647,36.68415185296776,0.5328594057365584,66.17283950617285,23.209876543209877,0.07407407407407407,23.54247068087917,1085.3999999999999,30.402015664164058,9.057815272337718
13.07,199.0,91,147,1.0,5.197962143808271,2.786098466055896,9.448757290004147,48.4,2.5144469387043875,6.962509563886764,15.225707727620504,0.1874521805661821,14.48203435548084,1189.3700000000001,5.197962143808271,3.7031369548584543
4.59,73.0,198,9,0.0,10.789926140445727,2.797043847701924,1.3170610240985463,21.2,0.41936090965973943,43.13725490196079,15.9041394335512,0.032679738562091505,30.614277499943096,908.8199999999999,0.0,4.618736383442266
4.95,119.0,553,61,4.0,8.422325191079652,3.06511831938304,9.923969314465092,32.8,0.587723685288559,111.71717171717171,24.040404040404038,0.2053872053872054,25.815423234979505,2737.35,33.68930076431861,6.626262626262625
6.55,82.0,184,48,3.0,6.295213014211736,2.9523063893081094,1.0,25.7,1.040473131761081,28.091603053435115,12.51908396946565,0.12213740458015267,18.58539760391287,1205.2,18.88563904263521,3.9236641221374047
8.05,155.0,309,16,4.0,9.698407146278884,3.065844303103937,2.8660012980489773,39.9,0.8300332084004796,38.38509316770186,19.254658385093165,0.03312629399585921,29.733806298601625,2487.4500000000003,38.793628585115535,4.956521739130435
2.33,38.0,110,249,5.0,9.72271969916111,3.187426003154164,1.976406835980132,10.8,0.23964488045469787,47.21030042918455,16.30901287553648,1.781115879828326,30.990449590485348,256.3,48.61359849580555,4.635193133047211
7.89,129.0,212,31,4.0,6.864379263972305,3.074677273050004,8.889003899028802,35.2,1.149412014777602,26.869455006337137,16.34980988593156,0.0654837346852556,21.10575091653136,1672.6799999999998,27.45751705588922,4.461343472750317
4.59,139.0,474,39,7.0,7.316848708334774,3.382698590755737,8.764770571840668,31.8,0.6273192439760898,103.26797385620915,30.28322440087146,0.14161220043572986,24.750693814456977,2175.66,51.21794095834342,6.928104575163399
8.55,110.0,424,82,4.0,5.917848475661263,3.106251546232834,6.831297661361751,38.4,1.4447818383934916,49.5906432748538,12.865497076023392,0.15984405458089668,18.382325977894418,3625.2000000000003,23.67139390264505,4.491228070175438
3.99,72.0,211,178,4.0,6.04910572914114,3.078083020008001,2.846489119490281,19.1,0.6596016301679861,52.882205513784456,18.045112781954888,0.7435254803675856,18.61964963110246,841.8900000000001,24.19642291656456,4.786967418546366
8.91,92.0,185,161,1.0,5.779037569790717,2.7609676834105605,1.223006718921302,32.0,1.5417792136490072,20.763187429854096,10.325476992143658,0.30115974560419,15.95573597140767,1648.3500000000001,5.779037569790717,3.591470258136925
9.74,180.0,830,240,7.0,5.203141620196599,3.2825923234276613,6.606128074094776,66.9,1.8719459724473109,122.68993839835728,18.480492813141684,0.41067761806981523,17.079792740164322,11639.300000000001,36.4219913413762,6.86858316221766
5.0,114.0,155,19,3.0,9.617037249632707,2.9756235817286774,1.0,23.7,0.519910640898366,31.0,22.8,0.06333333333333334,28.616682826370184,775.0,28.85111174889812,4.74
5.29,119.0,226,125,2.0,6.267765346495462,2.926987306205264,2.179853991849066,26.3,0.8440009648666623,42.72211720226843,22.495274102079396,0.39382482671707625,18.345669607465457,1195.54,12.535530692990925,4.9716446124763705
6.89,184.0,263,41,5.0,8.227617483642558,3.1636763139982604,6.79094856349961,36.3,0.8374234720680812,38.171262699564586,26.705370101596518,0.0991775520077407,26.029518553637928,1812.07,41.13808741821279,5.268505079825834
12.66,203.0,703,176,6.0,5.198885847394835,3.2201713260423235,9.707075661436672,62.7,2.4351371373818362,55.52922590837283,16.034755134281202,0.23170089520800422,16.741303133148094,8899.98,31.19331508436901,4.95260663507109
6.89,204.0,499,92,5.0,6.050582728907111,3.137827157703509,8.798728750504356,43.5,1.1387332937507837,72.42380261248186,29.60812772133527,0.22254475084663766,18.98568280669654,3438.1099999999997,30.252913644535553,6.313497822931786
7.3,141.0,525,72,2.0,8.252850132119574,2.92817857589818,1.0,40.9,0.8845429013170685,71.91780821917808,19.315068493150687,0.1643835616438356,24.165818946971005,3832.5,16.50570026423915,5.602739726027397
4.63,112.0,51,173,2.0,6.847907287205611,2.849226419862877,1.072755323546035,19.7,0.6761189668339304,11.01511879049676,24.190064794816415,0.6227501799856011,19.511238363477748,236.13,13.695814574411221,4.254859611231101
6.24,128.0,357,408,4.0,7.984506760457626,3.1367008093003856,3.012997353530816,32.9,0.7815135220252928,57.21153846153846,20.51282051282051,1.1992521367521367,25.045008817391835,2227.6800000000003,31.938027041830505,5.272435897435897
